player_id,Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,league,saison
1e52971c,305,Johann Lepenant,FRA,MF,Nantes,21.0,2002.0,29,23,2048,22.8,2,1,3,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matches,ligue1,2024-2025
88972aa9,306,Louis Leroux,FRA,"MF,DF",Nantes,18.0,2006.0,16,8,816,9.1,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches,ligue1,2024-2025
ff800ed8,307,Pol Lirola,ESP,DF,Marseille,26.0,1997.0,19,5,680,7.6,1,2,3,1,0,0,1,1,0.13,0.26,0.4,0.13,0.4,Matches,ligue1,2024-2025
ac89503b,308,Gautier Lloris,FRA,DF,Le Havre,29.0,1995.0,31,31,2768,30.8,2,1,3,2,0,0,5,0,0.07,0.03,0.1,0.07,0.1,Matches,ligue1,2024-2025
40221fa7,309,Bradley Locko,FRA,DF,Brest,22.0,2002.0,2,1,97,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
daa11a4f,310,Elysée Logbo,FRA,FW,Le Havre,20.0,2004.0,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
f00de885,311,Anthony Lopes,POR,GK,Nantes,33.0,1990.0,18,18,1563,17.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
fc4cf6a7,312,Jordan Lotomba,SUI,"DF,MF",Nice,25.0,1998.0,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
f999e9be,313,Tom Louchet,FRA,"DF,MF",Nice,21.0,2003.0,22,7,775,8.6,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,Matches,ligue1,2024-2025
b1c7a35e,314,Milos Lukovic,SRB,FW,Strasbourg,18.0,2005.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
5bdb4a7b,315,Othmane Maamma,MAR,MF,Montpellier,18.0,2005.0,12,2,361,4.0,1,1,2,1,0,0,1,0,0.25,0.25,0.5,0.25,0.5,Matches,ligue1,2024-2025
b3f8bdef,316,Deiver Machado,COL,"DF,MF",Lens,30.0,1993.0,27,20,1805,20.1,1,4,5,1,0,0,7,2,0.05,0.2,0.25,0.05,0.25,Matches,ligue1,2024-2025
e7cf1d4c,317,Lanroy Machine,FRA,MF,Angers,18.0,2005.0,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
0bb6e193,318,Yvann Macon,FRA,DF,Saint-Étienne,25.0,1998.0,12,10,790,8.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
0ed50019,319,Eros Maddy,NED,"FW,MF",Auxerre,23.0,2001.0,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
dfc5d4fa,320,Soungoutou Magassa,FRA,MF,Monaco,20.0,2003.0,21,12,1025,11.4,0,1,1,0,0,0,5,1,0.0,0.09,0.09,0.0,0.09,Matches,ligue1,2024-2025
d4d35152,321,Hugo Magnetti,FRA,MF,Brest,26.0,1998.0,32,27,2323,25.8,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,Matches,ligue1,2024-2025
42fdb11d,322,Frank Magri,CMR,FW,Toulouse,24.0,1999.0,31,17,1516,16.8,5,1,6,5,0,0,5,1,0.3,0.06,0.36,0.3,0.36,Matches,ligue1,2024-2025
e3a5814e,323,Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,26.0,1997.0,32,20,1985,22.1,1,4,5,1,0,0,1,0,0.05,0.18,0.23,0.05,0.23,Matches,ligue1,2024-2025
20de219a,324,Radosław Majecki,POL,GK,Monaco,24.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
8fe2fb2a,325,Hamidou Makalou,MLI,MF,Brest,18.0,2006.0,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
16b9d5cf,326,Nikola Maksimović,SRB,DF,Montpellier,32.0,1991.0,7,7,581,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
4fe2648c,327,Aaron Malouda,FRA,FW,Lille,18.0,2005.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
1d2d5cc8,328,Steve Mandanda,FRA,GK,Rennes,39.0,1985.0,18,17,1486,16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
fbd6378b,329,Aïssa Mandi,ALG,DF,Lille,32.0,1991.0,24,20,1733,19.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
a572e291,330,Orel Mangala,BEL,MF,Lyon,26.0,1998.0,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
3544641e,331,Sekou Mara,FRA,"FW,MF",Strasbourg,22.0,2002.0,25,7,768,8.5,1,1,2,1,0,0,2,0,0.12,0.12,0.23,0.12,0.23,Matches,ligue1,2024-2025
d5f2f82b,332,Marquinhos,BRA,DF,Paris Saint-Germain,30.0,1994.0,22,19,1725,19.2,2,0,2,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1,Matches,ligue1,2024-2025
13579ed2,333,Ange Martial Tia,MLI,MF,Reims,17.0,2006.0,6,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
468fdbad,334,Jonas Martin,FRA,MF,Brest,34.0,1990.0,17,5,496,5.5,1,0,1,1,0,0,2,0,0.18,0.0,0.18,0.18,0.18,Matches,ligue1,2024-2025
eba1e557,335,Han-Noah Massengo,FRA,MF,Auxerre,23.0,2001.0,17,11,1046,11.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
55abe554,336,Clinton Mata,ANG,DF,Lyon,31.0,1992.0,29,27,2370,26.3,0,4,4,0,0,0,6,0,0.0,0.15,0.15,0.0,0.15,Matches,ligue1,2024-2025
15944afd,337,Eliot Matazo,BEL,MF,Monaco,22.0,2002.0,3,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
eb7822d7,338,Nemanja Matić,SRB,MF,Lyon,35.0,1988.0,29,25,2010,22.3,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.0,0.04,Matches,ligue1,2024-2025
64b170af,339,Rudy Matondo,FRA,MF,Auxerre,16.0,2008.0,5,0,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
a17a94d6,340,Azor Matusiwa,NED,MF,Rennes,26.0,1998.0,29,23,2078,23.1,1,3,4,1,0,0,3,0,0.04,0.13,0.17,0.04,0.17,Matches,ligue1,2024-2025
4bcf39f6,341,Neal Maupay,FRA,FW,Marseille,27.0,1996.0,22,13,1042,11.6,4,4,8,4,0,0,3,1,0.35,0.35,0.69,0.35,0.69,Matches,ligue1,2024-2025
2c70d915,342,Christian Mawissa,FRA,DF,Monaco,19.0,2005.0,22,17,1501,16.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
bac89b96,343,Senny Mayulu,FRA,MF,Paris Saint-Germain,18.0,2006.0,20,8,808,9.0,2,2,4,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches,ligue1,2024-2025
d595de71,344,Ethan Mbappé,FRA,MF,Lille,17.0,2006.0,10,1,222,2.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,ligue1,2024-2025
